dead,gis_code,name
,230803,Murama
,230804,Nyamirama
,230902,Kibangu
,230903,Kiyonza
,230904,Mbuye
,230905,Nyamirama
,230906,Rubona
,231001,Gihemvu
,231002,Kabere
,231003,Mishungero
,231004,Nyabimata
,231005,Ruhinga
,231101,Maraba
,231102,Mwoya
,231103,Nkakwa
,231104,Nyagisozi
,231201,Gitita
,231202,Kabere
,231203,Remera
,231204,Ruyenzi
,231205,Uwumusebeya
,231301,Gabiro
,231302,Giseke
,231303,Nyarugano
,231304,Rugogwe
,231305,Ruramba
,231401,Bunge
,231402,Cyuna
,231403,Gikunzi
,231404,Mariba
,231405,Raranzige
,231406,Rusenge
,240101,Nyakibanda
,240102,Nyumba
,240103,Ryakibogo
,240104,Shori
,240201,Muyogoro
,240202,Nyakagezi
,240203,Rukira
,240204,Sovu
,240301,Buhoro
,240302,Bunazi
,240303,Gahororo
,240304,Kibingo
,240305,Muhembe
,240401,Gishihe
,240402,Kabatwa
,240403,Kabuga
,240404,Karambi
,240405,Musebeya
,240406,Nyabisindu
,240407,Rugarama
,240408,Shanga
,240501,Byinza
,240502,Gahana
,240503,Gitovu
,240504,Kabona
,240505,Sazange
,240601,Buremera
,240602,Gasumba
,240603,Kabuye
,240604,Kanyinya
,240605,Shanga
,240606,Shyembe
,240701,Gatobotobo
,240702,Kabuga
,240703,Mutunda
,240704,Mwulire
,240705,Rugango
,240706,Rusagara
,240707,Tare
,240801,Bukomeye
,240802,Buvumu
,240803,Icyeru
,240804,Rango A
,240901,Butare
,240902,Kaburemera
,240903,Matyazo
,240904,Ngoma
,241001,Busheshi
,241002,Gatovu
,241003,Karama
,241004,Mara
,241005,Muhororo
,241006,Rugogwe
,241007,Ruhashya
,241101,Buhimba
,241102,Gafumba
,241103,Kimirehe
,241104,Kimuna
,241105,Kiruhura
,241106,Mugogwe
,241201,Gatwaro
,241202,Kamwambi
,241203,Kibiraro
,241204,Mwendo
,241205,Nyamabuye
,241206,Nyaruhombo
,241207,Shyunga
,241301,Cyendajuru
,241302,Gisakura
,241303,Kabusanza
,241304,Mugobore
,241305,Nyangazi
,241401,Cyarwa
,251205,Masizi
,251206,Nyagisozi
,251505,Nyarwungo
,251506,Twiya
,251601,Buhoro
,260104,Rubona
,260105,Rwinyana
,260203,Mahembe
,260204,Mpanda
,260807,Nyarurama
,281105,Mwirute
,281106,Remera
,281107,Taba
,310106,Kiniha
,310107,Nyarusazi
,241402,Cyimana
,241403,Gitwa
,241404,Mpare
,241405,Rango B
,250101,Bushigishigi
,250102,Byimana
,250103,Gifurwe
,250104,Kizimyamuriro
,250105,Munini
,250106,Rambya
,250201,Gitega
,250202,Karama
,250203,Kiyumba
,250204,Ngoma
,250205,Nyanza
,250206,Nyanzoga
,250301,Kigeme
,250302,Ngiryi
,250303,Nyabivumu
,250304,Nyamugari
,250305,Nzega
,250306,Remera
,250401,Bakopfu
,250402,Gatare
,250403,Mukongoro
,250404,Ruganda
,250405,Shyeru
,250501,Kavumu
,250502,Murambi
,250503,Musenyi
,250504,Nyabisindu
,250505,Nyamiyaga
,250601,Bwama
,250602,Kamegeri
,250603,Kirehe
,250604,Kizi
,250605,Nyarusiza
,250606,Rususa
,250701,Bugarama
,250702,Bugarura
,250703,Gashiha
,250704,Karambo
,250705,Ruhunga
,250706,Uwindekezi
,250801,Bwenda
,250802,Gakanka
,250803,Kibibi
,250804,Nyakiza
,250901,Kagano
,250902,Mujuga
,250903,Mukungu
,250904,Shaba
,250905,Uwingugu
,251001,Manwari
,251002,Mutiwingoma
,251003,Ngambi
,251004,Ngara
,251101,Gitondorero
,251102,Gitwa
,251103,Ruhinga
,251104,Sovu
,251105,Suti
,251106,Yonde
,251201,Gasave
,251202,Jenda
,251203,Masagara
,251204,Masangano
,251301,Gatovu
,251302,Nyarurambi
,251303,Rugano
,251304,Runege
,251305,Rusekera
,251306,Sekera
,251401,Buteteri
,251402,Cyobe
,251403,Gashwati
,251501,Bitandara
,251502,Musaraba
,251503,Mutengeri
,251504,Nkomane
,251602,Gasarenda
,251603,Gatovu
,251604,Kaganza
,251605,Nkumbure
,251606,Nyamigina
,251701,Bigumira
,251702,Gahira
,251703,Kibyagira
,251704,Mudasomwa
,251705,Munyege
,251706,Rugogwe
,260101,Buhanda
,260102,Gitisi
,260103,Murama
,260201,Kamusenyi
,260202,Kirengeri
,260205,Muhororo
,260206,Ntenyo
,260207,Nyakabuye
,260301,Bihembe
,260302,Karambi
,260303,Munanira
,260304,Remera
,260305,Rwesero
,260306,Rwoga
,260401,Burima
,260402,Gisali
,260403,Kinazi
,260404,Rubona
,260405,Rutabo
,260501,Bweramvura
,260502,Gitinda
,260503,Kirwa
,260504,Muyunzwe
,260505,Nyakogo
,260506,Rukina
,260601,Cyanza
,260602,Gisanga
,260603,Kabuga
,260604,Kizibere
,260605,Mbuye
,260606,Mwendo
,260607,Nyakarekare
,260701,Gafunzo
,260702,Gishweru
,260703,Kamujisho
,260704,Kigarama
,260705,Kubutare
,260706,Mutara
,260707,Nyabibugu
,260708,Saruheshyi
,260801,Gako
,260802,Kareba
,260803,Kayenzi
,260804,Kebero
,260805,Nyagisozi
,260806,Nyakabungo
,260901,Buhoro
,260902,Bunyogombe
,260903,Gikoma
,260904,Munini
,260905,Musamo
,260906,Nyamagana
,260907,Rwoga
,260908,Tambwe
,270101,Biringaga
,270102,Kigarama
,270103,Kivumu
,270104,Makera
,270105,Nyarunyinya
,270106,Shori
,270201,Buramba
,270202,Butare
,270203,Kabuye
,270204,Kavumu
,270205,Kibyimba
,270206,Ngarama
,270207,Ngoma
,270208,Sholi
,270301,Gisharu
,270302,Gitega
,270303,Jurwe
,270304,Mubuga
,270305,Rubyiniro
,270306,Ryakanimba
,270401,Budende
,270402,Ndago
,270403,Remera
,270404,Ruhina
,270405,Rukeri
,270501,Kanyinya
,270502,Nganzo
,270503,Nyamirama
,270504,Remera
,270505,Tyazo
,270601,Matyazo
,270602,Munazi
,270603,Nyagasozi
,270604,Rukaragata
,270605,Rwasare
,270606,Rwigerero
,270701,Gashorera
,270702,Masangano
,270703,Mbuga
,270704,Muvumba
,270705,Nyarusozi
,270801,Gahogo
,270802,Gifumba
,270803,Gitarama
,270804,Remera
,270901,Mbiriri
,270902,Musongati
,270903,Ngaru
,270904,Rusovu
,271001,Gasagara
,271002,Gasharu
,271003,Karambo
,271004,Nyamirambo
,271005,Ruhango
,271101,Gasave
,271102,Kanyana
,271103,Kibaga
,271104,Mpinga
,271105,Nsanga
,271201,Kinini
,271202,Mbare
,271203,Mubuga
,271204,Ruli
,280101,Gihinga
,280102,Gihira
,280103,Kigembe
,280104,Nkingo
,280201,Bitare
,280202,Bunyonga
,280203,Muganza
,280204,Nyamirembe
,280301,Bugarama
,280302,Cubi
,280303,Kayonza
,280304,Kirwa
,280305,Mataba
,280306,Nyamirama
,280401,Busoro
,280402,Gaseke
,280403,Giko
,280404,Muyange
,280501,Jenda
,280502,Kabugondo
,280503,Mbati
,280504,Mugina
,280505,Nteko
,280601,Buhoro
,280602,Cyambwe
,280603,Karengera
,280604,Kivumu
,280605,Mpushi
,280606,Rukambura
,280701,Kabuga
,280702,Kazirabonde
,280703,Marembo
,280801,Bibungo
,280802,Kabashumba
,280803,Kidahwe
,280804,Mukinga
,280805,Ngoma
,280901,Gitare
,280902,Kambyeyi
,280903,Kigusa
,280904,Nyagishubi
,280905,Ruyanza
,281001,Bihembe
,281002,Kigese
,281003,Masaka
,281004,Nyarubuye
,281005,Sheli
,281101,Bugoba
,281102,Buguri
,281103,Gishyeshye
,281104,Murehe
,281201,Gihara
,281202,Kabagesera
,281203,Kagina
,281204,Muganza
,281205,Ruyenzi
,310101,Burunga
,310102,Gasura
,310103,Gitarama
,310104,Kayenzi
,310105,Kibuye
,310201,Birambo
,310202,Musasa
,310203,Mwendo
,310204,Rugobagoba
,310205,Tongati
,310301,Buhoro
,310302,Cyanya
,310303,Kigarama
,310304,Munanira
,310305,Musasa
,310306,Ngoma
,310401,Gasharu
,310402,Gitega
,310403,Kanunga
,310404,Kirambo
,310405,Munanira
,310406,Nyamiringa
,310407,Ruhinga
,310408,Rwariro
,310501,Kagabiro
,310502,Murangara
,310503,Nyagatovu
,310504,Ryaruhanga
,310601,Mubuga
,310602,Muhororo
,310603,Nkoto
,310604,Nyarunyinya
,310605,Shyembe
,310701,Bukiro
,310702,Kabaya
,310703,Kamina
,320104,Remera
,320201,Bugina
,320202,Congo-nil
,320503,Tangabo
,320601,Kabuga
,320703,Rugeyo
,320704,Twabugezi
,320801,Gabiro
,321206,Rundoyi
,321301,Kabona
,330306,Rwangara
,330307,Rwanzekuma
,330308,Ryabizige
,350405,Ngoma
,350406,Nyenyeri
,350504,Muramba
,350505,Nyamata
,350506,Rwamamara
,310704,Kareba
,310705,Nyamushishi
,310706,Nzaratsi
,310801,Byogo
,310802,Gasharu
,310803,Gisayura
,310804,Kanyege
,310805,Kinyonzwe
,310806,Murengezo
,310807,Rwufi
,310901,Bubazi
,310902,Gacaca
,310903,Gisanze
,310904,Gitwa
,310905,Kibirizi
,310906,Mataba
,310907,Nyarugenge
,310908,Ruragwe
,311001,Gisiza
,311002,Gitega
,311003,Gitovu
,311004,Kabuga
,311005,Mubuga
,311006,Mucyimba
,311007,Rufungo
,311008,Rwungo
,311009,Tyazo
,311101,Biguhu
,311102,Kabingo
,311103,Kinyovu
,311104,Kivumu
,311105,Nyabikeri
,311106,Nyamugwagwa
,311107,Rubona
,311108,Rugobagoba
,311201,Bigugu
,311202,Bisesero
,311203,Gasata
,311204,Munini
,311205,Nyakamira
,311206,Nyarusanga
,311207,Rubazo
,311208,Rubumba
,311301,Bihumbe
,311302,Gakuta
,311303,Gisovu
,311304,Gitabura
,311305,Kavumu
,311306,Murehe
,311307,Rutabi
,320101,Bushaka
,320102,Kabihogo
,320103,Nkira
,320203,Mataba
,320204,Murambi
,320205,Ruhingo
,320206,Shyembe
,320207,Teba
,320301,Buhindure
,320302,Nkora
,320303,Nyagahinika
,320304,Rukaragata
,320401,Bunyoni
,320402,Bunyunju
,320403,Kabere
,320404,Kabujenje
,320405,Karambi
,320406,Nganzo
,320501,Haniro
,320502,Muyira
,320602,Kagano
,320603,Kageyo
,320604,Kagusa
,320605,Karambo
,320606,Mwendo
,320701,Kirwa
,320702,Mburamazi
,320802,Gisiza
,320803,Murambi
,320804,Nyarubuye
,320901,Biruyi
,320902,Kaguriro
,320903,Magaba
,320904,Rurara
,321001,Bumba
,321002,Cyarusera
,321003,Gitwa
,321004,Mageragere
,321005,Sure
,321101,Busuku
,321102,Cyivugiza
,321103,Mubuga
,321104,Ngoma
,321105,Terimbere
,321201,Gatare
,321202,Gihira
,321203,Kavumu
,321204,Nyakarera
,321205,Rugasa
,321302,Mberi
,321303,Remera
,321304,Ruronde
,330101,Buringo
,330102,Butaka
,330103,Hehu
,330104,Kabumba
,330105,Mutovu
,330106,Nsherima
,330107,Rusiza
,330201,Gacurabwenge
,330202,Gasiza
,330203,Gihonga
,330204,Kageshi
,330205,Makoro
,330206,Nyacyonga
,330207,Rusura
,330301,Busigari
,330302,Cyanzarwe
,330303,Gora
,330304,Kinyanzovu
,330305,Makurizo
,330401,Amahoro
,330402,Bugoyi
,330403,Kivumu
,330404,Mbugangari
,330405,Nengo
,330406,Rubavu
,330407,Umuganda
,330501,Kamuhoza
,330502,Karambo
,330503,Mahoko
,330504,Musabike
,330505,Nkomane
,330506,Rusongati
,330507,Yungwe
,330601,Kanyirabigogo
,330602,Kirerema
,330603,Muramba
,330604,Nyamikongi
,330605,Nyamirango
,330606,Nyaruteme
,330701,Bihungwe
,330702,Kanyundo
,330703,Micinyiro
,330704,Mirindi
,330705,Ndoranyi
,330706,Rungu
,330707,Rwanyakayaga
,330801,Bisizi
,330802,Gikombe
,330803,Kanyefurwe
,330804,Nyarushyamba
,330901,Burushya
,330902,Busoro
,330903,Kinigi
,330904,Kiraga
,330905,Munanira
,330906,Rubona
,331001,Bahimba
,331002,Gatovu
,331003,Kavomo
,331004,Kigarama
,331005,Mukondo
,331006,Nyundo
,331007,Terimbere
,331101,Buhaza
,331102,Burinda
,331103,Byahi
,331104,Gikombe
,331105,Murambi
,331106,Murara
,331107,Rukoko
,331201,Basa
,331202,Gisa
,331203,Kabilizi
,331204,Muhira
,331205,Rugerero
,331206,Rushubi
,331207,Rwaza
,340101,Arusha
,340102,Basumba
,340103,Kijote
,340104,Kora
,340105,Muhe
,340106,Rega
,340201,Bukinanyana
,340202,Gasizi
,340203,Kabatezi
,340204,Kareba
,340205,Nyirakigugu
,340206,Rega
,340301,Gasiza
,340302,Gasura
,340303,Gisizi
,340304,Guriro
,340305,Kavumu
,340306,Nyamitanzi
,340401,Batikoti
,340402,Cyamvumba
,340403,Gihorwe
,340404,Myuga
,340405,Ngando
,340406,Rugarama
,340501,Busoro
,340502,Cyamabuye
,340503,Gatagara
,340504,Gihirwa
,340505,Kadahenda
,340506,Karengera
,340601,Gatovu
,340602,Kintobo
,340603,Nyagisozi
,340604,Nyamugari
,340605,Rukondo
,340606,Ryinyo
,340701,Gasizi
,340702,Jaba
,340703,Kanyove
,340704,Rubaya
,340705,Rugeshi
,340706,Rukoma
,340707,Rurengeri
,340801,Gisizi
,340802,Mulinga
,340803,Mwiyanike
,340804,Nkomane
,340805,Nyamasheke
,340806,Rwantobo
,340901,Birembo
,340902,Guriro
,340903,Kibisabo
,340904,Mutaho
,340905,Nyundo
,340906,Rugamba
,341001,Gakoro
,341002,Marangara
,341003,Nyagahondo
,341004,Nyarutembe
,341005,Rurembo
,341006,Tyazo
,341101,Gahondo
,341102,Gitega
,341103,Kirimbogo
,341104,Murambi
,341105,Mwana
,341106,Rwaza
,341201,Cyimanzovu
,341202,Kanyamitana
,341203,Kintarure
,341204,Mpinga
,341205,Mutanda
,341206,Shaki
,350101,Bungwe
,350102,Cyahafi
,350103,Gashubi
,350104,Kabarondo
,350105,Ruhindage
,350201,Cyome
,350202,Gatsibo
,350203,Kamasiga
,350204,Karambo
,350205,Ruhanga
,350206,Rusumo
,350301,Gatare
,350302,Gatega
,350303,Kajinge
,350304,Marantima
,350305,Rugendabari
,350306,Runyinya
,350401,Busunzu
,350402,Gaseke
,350403,Kabaya
,350404,Mwendo
,350501,Kageshi
,350502,Kirwa
,350503,Mukore
,350601,Birembo
,350602,Gitwa
,350603,Murinzi
,350604,Nyamugeyo
,350605,Rugeshi
,350606,Tetero
,360904,Kamurera
,360905,Ruganda
,361001,Cyarukara
,361103,Kabasigirira
,361104,Kagarama
,361105,Karambi
,361204,Kinyaga
,361205,Rugabano
,361301,Bigoga
,370201,Gasheke
,370303,Mutongo
,370304,Rugari
,370404,Kibingo
,370405,Mubuga
,370805,Mwezi
,370901,Cyimpindu
,350701,Binana
,350702,Gitega
,350703,Matare
,350704,Rutare
,350705,Rwamiko
,350801,Bugarura
,350802,Gasiza
,350803,Mashya
,350804,Nganzo
,350805,Ngoma
,350806,Rutagara
,350901,Bweramana
,350902,Mubuga
,350903,Myiha
,350904,Rugogwe
,350905,Rusororo
,350906,Sanza
,351001,Bijyojyo
,351002,Bitabage
,351003,Kabageshi
,351004,Kibanda
,351005,Kinyovi
,351101,Kaseke
,351102,Kazabe
,351103,Mugano
,351104,Nyange
,351105,Rususa
,351106,Torero
,351201,Bambiro
,351202,Gaseke
,351203,Nsibo
,351204,Vuganyana
,351301,Birembo
,351302,Kagano
,351303,Kanyana
,351304,Musenyi
,351305,Nyabipfura
,351306,Rutovu
,360101,Nyange
,360102,Pera
,360103,Ryankana
,360201,Butanda
,360202,Gatereri
,360203,Nyamihanda
,360204,Rwambogo
,360301,Gikungu
,360302,Kiyabo
,360303,Murwa
,360304,Nyamuzi
,360305,Rasano
,360401,Birembo
,360402,Buhokoro
,360403,Kabakobwa
,360404,Kacyuma
,360405,Kamurehe
,360406,Karemereye
,360407,Muti
,360408,Rusayo
,360501,Cyendajuru
,360502,Gakomeye
,360503,Giheke
,360504,Kamashangi
,360505,Kigenge
,360506,Ntura
,360507,Rwega
,360508,Turambi
,360601,Burunga
,360602,Gatsiro
,360603,Gihaya
,360604,Kagara
,360605,Kamatita
,360606,Shagasha
,360701,Kizura
,360702,Mpinga
,360703,Nyamigina
,360801,Cyingwa
,360802,Gahungeri
,360803,Hangabashi
,360804,Mashesha
,360901,Cyangugu
,360902,Gihundwe
,360903,Kamashangi
,361002,Gakoni
,361003,Shara
,361101,Gahinga
,361102,Kabahinda
,361106,Miko
,361107,Tara
,361201,Gitwa
,361202,Kamanyenga
,361203,Kangazi
,361302,Bugarura
,361303,Ishywa
,361304,Kamagimbo
,361305,Rwenje
,361401,Gatare
,361402,Kiziguro
,361403,Mataba
,361404,Ryamuhirwa
,361501,Gasebeya
,361502,Gaseke
,361503,Kamanu
,361504,Kiziho
,361505,Mashyuza
,361506,Nyabintare
,361601,Gatare
,361602,Kabagina
,361603,Kabuye
,361604,Kanoga
,361605,Karangiro
,361606,Murambi
,361607,Rusambu
,361701,Butambamo
,361702,Kigenge
,361703,Murya
,361704,Nyenji
,361705,Rebero
