dead,gis_code,name
,4511,Muko
,4512,Mutete
,4513,Nyamiyaga
,4514,Nyankenke
,4515,Rubaya
,4516,Rukomo
,4517,Rushaki
,4518,Rutare
,4519,Ruvune
,4520,Rwamiko
,5102,Gahengeri
,5103,Gishali
,5104,Karenge
,5105,Kigabiro
,5106,Muhazi
,5107,Munyaga
,5108,Munyiginya
,5109,Musha
,5110,Muyumbu
,5111,Mwulire
,5112,Nyakaliro
,5113,Nzige
,5114,Rubona
,5201,GATUNDA
,5204,KATABAGEMU
,5205,KIYOMBE
,5206,MATIMBA
,5207,MIMURI
,5208,MUKAMA
,5209,MUSHERI
,5210,NYAGATARE
,5212,RWEMPASHA
,5213,RWIMIYAGA
,5214,TABAGWE
,5301,Gasange
,5302,Gatsibo
,5303,Gitoki
,5304,Kabarore
,5305,Kageyo
,5306,Kiramuruzi
,5307,Kiziguro
,5308,Muhura
,5309,Murambi
,5310,Ngarama
,5311,Nyagihanga
,5312,Remera
,5313,Rugarama
,5314,Rwimbogo
,5401,Gahini
,5402,Kabare
,5403,Kabarondo
,5410,Rukara
,5412,Rwinkwavu
,5501,Gahara
,5512,Nyarubuye
,5601,Gashanda
,5602,Jarama
,5611,Rukumberi
,5404,Mukarange
,5405,Murama
,5406,Murundi
,5407,Mwiri
,5408,Ndego
,5409,Nyamirama
,5411,Ruramira
,5502,Gatore
,5503,Kigarama
,5504,Kigina
,5505,Kirehe
,5506,Mahama
,5507,Mpanga
,5508,Musaza
,5509,Mushikiri
,5510,Nasho
,5511,Nyamugari
,5603,Karembo
,5604,Kazo
,5605,Kibungo
,5606,Mugesera
,5607,Murama
,5608,Mutenderi
,5609,Remera
,5610,Rukira
,5612,Rurenge
,5613,Sake
,5614,Zaza
,5701,Gashora
,5702,Juru
,5703,Kamabuye
,5704,Mareba
,5705,Mayange
,5708,Ngeruka
,5706,Musenyi
,5707,Mwogo
,5709,Ntarama
,5710,Nyamata
,5711,Nyarugenge
,5712,Rilima
,5713,Ruhuha
,5714,Rweru
,5715,Shyara
