example_id                                   | status | run_time        |
./spec/models/district_spec.rb[1:12:5:1]     | passed | 0.06189 seconds |
./spec/models/district_spec.rb[1:13:1]       | passed | 0.03892 seconds |
./spec/models/district_spec.rb[1:14:1]       | passed | 0.05141 seconds |
./spec/models/district_spec.rb[1:14:2]       | passed | 0.04695 seconds |
./spec/models/district_spec.rb[1:14:3:1]     | passed | 0.07536 seconds |
./spec/models/district_spec.rb[1:14:4:1]     | passed | 0.08314 seconds |
./spec/models/district_spec.rb[1:14:4:2]     | passed | 0.05477 seconds |
./spec/models/facility_spec.rb[1:1:1]        | passed | 0.07682 seconds |
./spec/models/facility_spec.rb[1:1:2]        | passed | 0.04061 seconds |
./spec/models/facility_spec.rb[1:1:3]        | passed | 0.10902 seconds |
./spec/models/facility_spec.rb[1:2:1]        | passed | 0.13901 seconds |
./spec/models/facility_spec.rb[1:2:2]        | passed | 0.13688 seconds |
./spec/models/facility_spec.rb[1:3:1]        | passed | 0.14851 seconds |
./spec/models/facility_spec.rb[1:4:1]        | passed | 0.08173 seconds |
./spec/models/facility_spec.rb[1:5:1]        | passed | 0.0852 seconds  |
./spec/models/facility_spec.rb[1:6:1]        | passed | 0.10401 seconds |
./spec/models/facility_spec.rb[1:7:1]        | passed | 0.0613 seconds  |
./spec/models/facility_spec.rb[1:7:2]        | passed | 0.06355 seconds |
./spec/models/facility_spec.rb[1:8:1]        | passed | 0.06031 seconds |
./spec/models/facility_spec.rb[1:9:1]        | passed | 0.14465 seconds |
./spec/models/facility_spec.rb[1:10:1]       | passed | 0.10129 seconds |
./spec/models/facility_spec.rb[1:11:1]       | passed | 0.09673 seconds |
./spec/models/facility_spec.rb[1:12:1]       | passed | 0.07877 seconds |
./spec/models/facility_spec.rb[1:13:1]       | passed | 0.20651 seconds |
./spec/models/facility_spec.rb[1:13:2]       | passed | 0.21016 seconds |
./spec/models/facility_spec.rb[1:14:1]       | passed | 0.06549 seconds |
./spec/models/facility_spec.rb[1:14:2]       | passed | 0.06274 seconds |
./spec/models/facility_spec.rb[1:14:3]       | passed | 0.07067 seconds |
./spec/models/facility_spec.rb[1:15:1]       | passed | 0.08296 seconds |
./spec/models/monthly_spec.rb[1:1:1]         | passed | 0.0491 seconds  |
./spec/models/monthly_spec.rb[1:1:2]         | passed | 0.04224 seconds |
./spec/models/plan_spec.rb[1:1:1]            | passed | 0.06552 seconds |
./spec/models/plan_spec.rb[1:1:2]            | passed | 0.07094 seconds |
./spec/models/plan_spec.rb[1:1:3]            | passed | 0.0739 seconds  |
./spec/models/plan_spec.rb[1:1:4]            | passed | 0.04948 seconds |
./spec/models/plan_spec.rb[1:2:1]            | passed | 0.20474 seconds |
./spec/models/plan_spec.rb[1:2:2]            | passed | 0.17363 seconds |
./spec/models/plan_spec.rb[1:2:3]            | passed | 0.18319 seconds |
./spec/models/plan_spec.rb[1:3:1]            | passed | 0.19971 seconds |
./spec/models/plan_spec.rb[1:3:2]            | passed | 0.19828 seconds |
./spec/models/plan_spec.rb[1:3:3]            | passed | 0.1993 seconds  |
./spec/models/plan_spec.rb[1:3:4]            | passed | 0.19154 seconds |
./spec/models/plan_spec.rb[1:3:5]            | passed | 0.19083 seconds |
./spec/models/plan_spec.rb[1:4:1:1]          | passed | 0.20545 seconds |
./spec/models/plan_spec.rb[1:4:2:1]          | passed | 0.21097 seconds |
./spec/models/plan_spec.rb[1:4:3:1]          | passed | 0.22547 seconds |
./spec/models/plan_spec.rb[1:5:1:1]          | passed | 0.06724 seconds |
./spec/models/plan_spec.rb[1:5:2:1:1]        | passed | 0.21762 seconds |
./spec/models/plan_spec.rb[1:5:2:2:1]        | passed | 0.21718 seconds |
./spec/models/plan_spec.rb[1:6:1]            | passed | 0.07901 seconds |
./spec/models/plan_spec.rb[1:6:2]            | passed | 0.10122 seconds |
./spec/models/plan_spec.rb[1:7:1]            | passed | 0.07539 seconds |
./spec/models/plan_spec.rb[1:7:2]            | passed | 0.07608 seconds |
./spec/models/plan_spec.rb[1:7:3]            | passed | 0.07471 seconds |
./spec/models/plan_spec.rb[1:7:4]            | passed | 0.08147 seconds |
./spec/models/plan_spec.rb[1:8:1]            | passed | 0.074 seconds   |
./spec/models/plan_spec.rb[1:8:2]            | passed | 0.07696 seconds |
./spec/models/plan_spec.rb[1:8:3]            | passed | 0.07244 seconds |
./spec/models/plan_spec.rb[1:9:1:1]          | passed | 0.3047 seconds  |
./spec/models/plan_spec.rb[1:9:1:2]          | passed | 0.22 seconds    |
./spec/models/plan_spec.rb[1:9:2:1]          | passed | 0.35785 seconds |
./spec/models/plan_spec.rb[1:9:2:2]          | passed | 0.26668 seconds |
./spec/models/plan_spec.rb[1:9:3:1]          | passed | 0.26771 seconds |
./spec/models/plan_spec.rb[1:9:3:2]          | passed | 0.22559 seconds |
./spec/models/plan_spec.rb[1:9:4:1]          | passed | 0.27045 seconds |
./spec/models/plan_spec.rb[1:9:4:2]          | passed | 0.2136 seconds  |
./spec/models/plan_spec.rb[1:9:5:1]          | passed | 0.29437 seconds |
./spec/models/plan_spec.rb[1:9:5:2]          | passed | 0.23502 seconds |
./spec/models/plan_spec.rb[1:9:6:1]          | passed | 0.24554 seconds |
./spec/models/plan_spec.rb[1:9:6:2]          | passed | 0.22518 seconds |
./spec/models/plan_spec.rb[1:9:7:1]          | passed | 0.285 seconds   |
./spec/models/plan_spec.rb[1:9:7:2]          | passed | 0.26683 seconds |
./spec/models/plan_spec.rb[1:9:8:1]          | passed | 0.23193 seconds |
./spec/models/plan_spec.rb[1:9:8:2]          | passed | 0.22228 seconds |
./spec/models/plan_spec.rb[1:9:9:1]          | passed | 0.2611 seconds  |
./spec/models/plan_spec.rb[1:9:9:2]          | passed | 0.2218 seconds  |
./spec/models/plan_spec.rb[1:10:1]           | passed | 0.06949 seconds |
./spec/models/plan_spec.rb[1:10:2]           | passed | 0.06981 seconds |
./spec/models/plan_spec.rb[1:10:3]           | passed | 0.06793 seconds |
./spec/models/plan_spec.rb[1:10:4]           | passed | 0.0804 seconds  |
./spec/models/plan_spec.rb[1:11:1]           | passed | 0.27765 seconds |
./spec/models/plan_spec.rb[1:11:2]           | passed | 0.28554 seconds |
./spec/models/plan_spec.rb[1:12:1]           | passed | 0.0761 seconds  |
./spec/models/plan_spec.rb[1:12:2]           | passed | 0.20469 seconds |
./spec/models/plan_spec.rb[1:13:1]           | passed | 0.07263 seconds |
./spec/models/plan_spec.rb[1:13:2]           | passed | 0.10199 seconds |
./spec/models/plan_spec.rb[1:13:3]           | passed | 0.08517 seconds |
./spec/models/plan_spec.rb[1:13:4]           | passed | 0.10669 seconds |
./spec/models/report_spec.rb[1:1:1]          | passed | 0.06667 seconds |
./spec/models/report_spec.rb[1:1:2]          | passed | 0.06568 seconds |
./spec/models/report_spec.rb[1:1:3]          | passed | 0.06733 seconds |
./spec/models/report_spec.rb[1:1:4]          | passed | 0.06481 seconds |
./spec/models/report_spec.rb[1:1:5]          | passed | 0.06946 seconds |
./spec/models/report_spec.rb[1:1:6]          | passed | 0.0421 seconds  |
./spec/models/report_spec.rb[1:2:1:1]        | passed | 0.22238 seconds |
./spec/models/report_spec.rb[1:2:2:1]        | passed | 0.22226 seconds |
./spec/models/report_spec.rb[1:2:3:1]        | passed | 0.22468 seconds |
./spec/models/report_spec.rb[1:2:4:1]        | passed | 0.23132 seconds |
./spec/models/report_spec.rb[1:2:5:1]        | passed | 0.2174 seconds  |
./spec/models/report_spec.rb[1:3:1:1]        | passed | 0.41804 seconds |
./spec/models/report_spec.rb[1:3:2:1]        | passed | 0.30406 seconds |
./spec/models/report_spec.rb[1:3:3:1]        | passed | 0.28356 seconds |
./spec/models/report_spec.rb[1:3:4:1]        | passed | 0.29066 seconds |
./spec/models/report_spec.rb[1:4:1:1]        | passed | 0.0233 seconds  |
./spec/models/report_spec.rb[1:4:2:1]        | passed | 0.16219 seconds |
./spec/models/report_spec.rb[1:4:3:1]        | passed | 0.14183 seconds |
./spec/models/report_spec.rb[1:5:1:1]        | passed | 0.11587 seconds |
./spec/models/report_spec.rb[1:5:2:1]        | passed | 0.11567 seconds |
./spec/models/report_spec.rb[1:6:1:1]        | passed | 0.12753 seconds |
./spec/models/report_spec.rb[1:6:1:2]        | passed | 0.14925 seconds |
./spec/models/report_spec.rb[1:6:2:1]        | passed | 0.06984 seconds |
./spec/models/report_spec.rb[1:6:2:2]        | passed | 0.15174 seconds |
./spec/models/report_spec.rb[1:6:3:1]        | passed | 0.10674 seconds |
./spec/models/report_spec.rb[1:6:3:2]        | passed | 0.10662 seconds |
./spec/models/report_spec.rb[1:6:4:1]        | passed | 0.11732 seconds |
./spec/models/report_spec.rb[1:6:4:2]        | passed | 0.11636 seconds |
./spec/models/report_spec.rb[1:6:5]          | passed | 0.19722 seconds |
./spec/models/report_spec.rb[1:7:1]          | passed | 0.06377 seconds |
./spec/models/report_spec.rb[1:7:2]          | passed | 0.0675 seconds  |
./spec/models/report_spec.rb[1:7:3]          | passed | 0.08589 seconds |
./spec/models/report_spec.rb[1:8:1]          | passed | 0.06406 seconds |
./spec/models/report_spec.rb[1:8:2]          | passed | 0.06505 seconds |
./spec/models/report_spec.rb[1:9:1:1]        | passed | 0.05672 seconds |
./spec/models/report_spec.rb[1:9:2:1]        | passed | 0.14786 seconds |
./spec/models/report_spec.rb[1:10:1:1]       | passed | 0.35442 seconds |
./spec/models/report_spec.rb[1:10:1:2]       | passed | 0.26608 seconds |
./spec/models/report_spec.rb[1:10:2:1]       | passed | 0.43348 seconds |
./spec/models/report_spec.rb[1:10:2:2]       | passed | 0.37634 seconds |
./spec/models/report_spec.rb[1:10:3:1]       | passed | 0.33749 seconds |
./spec/models/report_spec.rb[1:10:3:2]       | passed | 0.27953 seconds |
./spec/models/report_spec.rb[1:10:4:1]       | passed | 0.34401 seconds |
./spec/models/report_spec.rb[1:10:4:2]       | passed | 0.29886 seconds |
./spec/models/report_spec.rb[1:10:5:1]       | passed | 0.38316 seconds |
./spec/models/report_spec.rb[1:10:5:2]       | passed | 0.35597 seconds |
./spec/models/report_spec.rb[1:10:6:1]       | passed | 0.27624 seconds |
./spec/models/report_spec.rb[1:10:6:2]       | passed | 0.26621 seconds |
./spec/models/report_spec.rb[1:10:7:1]       | passed | 0.35784 seconds |
./spec/models/report_spec.rb[1:10:7:2]       | passed | 0.35104 seconds |
./spec/models/report_spec.rb[1:10:8:1]       | passed | 0.30168 seconds |
./spec/models/report_spec.rb[1:10:8:2]       | passed | 0.2772 seconds  |
./spec/models/report_spec.rb[1:10:9:1]       | passed | 0.30713 seconds |
./spec/models/report_spec.rb[1:10:9:2]       | passed | 0.29999 seconds |
./spec/models/report_spec.rb[1:11:1]         | passed | 0.07006 seconds |
./spec/models/report_spec.rb[1:11:2]         | passed | 0.07248 seconds |
./spec/models/report_spec.rb[1:11:3:1]       | passed | 0.07092 seconds |
./spec/models/report_spec.rb[1:11:4:1]       | passed | 0.06776 seconds |
./spec/models/report_spec.rb[1:12:1]         | passed | 0.07111 seconds |
./spec/models/report_spec.rb[1:12:2:1]       | passed | 0.05839 seconds |
./spec/models/report_spec.rb[1:12:3:1]       | passed | 0.05966 seconds |
./spec/models/report_spec.rb[1:12:4:1]       | passed | 0.06436 seconds |
./spec/models/report_spec.rb[1:12:5:1]       | passed | 0.06823 seconds |
./spec/models/report_spec.rb[1:13:1]         | passed | 0.05822 seconds |
./spec/models/report_spec.rb[1:13:2]         | passed | 0.05994 seconds |
./spec/models/report_spec.rb[1:13:3:1]       | passed | 0.05696 seconds |
./spec/models/report_spec.rb[1:13:4:1]       | passed | 0.06508 seconds |
./spec/models/report_spec.rb[1:13:5:1]       | passed | 0.02002 seconds |
./spec/models/report_spec.rb[1:14:1]         | passed | 0.07414 seconds |
./spec/models/report_spec.rb[1:14:2]         | passed | 0.06442 seconds |
./spec/models/report_spec.rb[1:14:3:1]       | passed | 0.06335 seconds |
./spec/models/report_spec.rb[1:14:4:1]       | passed | 0.06483 seconds |
./spec/models/report_spec.rb[1:15:1:1]       | passed | 0.07053 seconds |
./spec/models/report_spec.rb[1:15:2:1]       | passed | 0.0733 seconds  |
./spec/models/report_spec.rb[1:15:3:1]       | passed | 0.06559 seconds |
./spec/models/report_spec.rb[1:15:4:1]       | passed | 0.06548 seconds |
./spec/models/report_spec.rb[1:15:5]         | passed | 0.06557 seconds |
./spec/models/report_spec.rb[1:16:1:1]       | passed | 0.07083 seconds |
./spec/models/report_spec.rb[1:16:1:2]       | passed | 0.0717 seconds  |
./spec/models/report_spec.rb[1:16:2:1]       | passed | 0.07035 seconds |
./spec/models/report_spec.rb[1:17:1:1]       | passed | 0.06476 seconds |
./spec/models/report_spec.rb[1:17:2:1]       | passed | 0.0712 seconds  |
./spec/models/report_spec.rb[1:17:3:1]       | passed | 0.06202 seconds |
./spec/models/report_spec.rb[1:17:4:1]       | passed | 0.05802 seconds |
./spec/models/report_spec.rb[1:17:5]         | passed | 0.07236 seconds |
./spec/models/report_spec.rb[1:18:1:1]       | passed | 0.07399 seconds |
./spec/models/report_spec.rb[1:18:2:1]       | passed | 0.07279 seconds |
./spec/models/report_spec.rb[1:18:3:1]       | passed | 0.11703 seconds |
./spec/models/report_spec.rb[1:18:4:1]       | passed | 0.10207 seconds |
./spec/models/report_spec.rb[1:19:1:1]       | passed | 0.08354 seconds |
./spec/models/report_spec.rb[1:19:2:1]       | passed | 0.10583 seconds |
./spec/models/report_spec.rb[1:19:2:2]       | passed | 0.10597 seconds |
./spec/models/report_spec.rb[1:20:1]         | passed | 0.0402 seconds  |
./spec/models/sector_spec.rb[1:1:1]          | passed | 0.03339 seconds |
./spec/models/sector_spec.rb[1:1:2]          | passed | 0.02546 seconds |
./spec/models/sector_spec.rb[1:1:3:1]        | passed | 0.02889 seconds |
./spec/models/sector_spec.rb[1:1:3:2]        | passed | 0.04 seconds    |
